"id","date"
"85632","10/4/2024"
"82589","10/4/2024"
"43933","10/4/2024"
"12111","10/4/2024"
"81555","10/4/2024"
"54253","10/4/2024"
"64497","10/4/2024"
"12111","10/4/2024"
"81555","10/4/2024"
"43933","10/4/2024"
"94258","10/4/2024"
"83855","10/4/2024"
"55988","10/4/2024"
"54253","10/4/2024"
"35424","10/4/2024"
"94258","10/4/2024"
"43933","10/4/2024"
"94258","10/4/2024"
"81555","10/4/2024"
"54253","10/4/2024"
"81555","10/4/2024"
"82323","10/4/2024"
"1","10/4/2024"
"72378","10/4/2024"
"58376","10/4/2024"
"41459","10/4/2024"
"55789","10/4/2024"
"24373","10/4/2024"
"24648","10/4/2024"
"24457","10/4/2024"
"2","10/15/2024"
"3","10/15/2024"
"4","10/15/2024"
"6","10/15/2024"
"10","10/15/2024"
"11","10/15/2024"
"20","10/16/2024"
"21","10/16/2024"
"13823","10/16/2024"
"66678","10/16/2024"
"52978","10/16/2024"
"65458","10/16/2024"
"68497","10/16/2024"
"43268","10/16/2024"
"52978","10/16/2024"
"52978","10/16/2024"
"91459","10/16/2024"
"13477","10/16/2024"
"12316","10/16/2024"
"15273","10/16/2024"
"42567","10/16/2024"
"58946","10/16/2024"
"42567","10/16/2024"
"42567","10/16/2024"
"42567","10/16/2024"
"30","10/16/2024"
"61152","10/16/2024"
"28651","10/16/2024"
"39316","10/16/2024"
"48196","10/16/2024"
"36577","10/16/2024"
"28651","10/16/2024"
"28651","10/16/2024"
